,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
0.0,7.908748244926772e-07,6.544637465371441e-07,7.377528253455973e-07,5.424396248865663e-07,7.382203723081961e-07,5.643425336475777e-07,1.0663782672841064e-06,9.036323204938469e-07,7.588899999999998e-07,7.272300000000008e-07,6.738000000000002e-07,4.892100000000027e-07
2.5,1.059211134096847e-06,1.0172301224718414e-06,1.0260862989712887e-06,1.129925615620816e-06,1.015573013551916e-06,1.2138171887320019e-06,1.3026679637300215e-06,1.1127923391261529e-06,1.0285000000000004e-06,1.0212199999999993e-06,9.501600000000004e-07,7.228499999999994e-07
5.0,1.1074892467120415e-06,1.0578360068328255e-06,1.0759346479276097e-06,1.2114344907313938e-06,1.0566083405515306e-06,1.2414260398340088e-06,1.3271887062049702e-06,1.2254585052514774e-06,1.0593500000000003e-06,1.0820700000000006e-06,1.0232599999999998e-06,7.63479999999999e-07
7.5,1.130374195248732e-06,1.0863434475366926e-06,1.123738025659218e-06,1.2610978830920095e-06,1.0753951894521861e-06,1.2882017687936354e-06,1.339531442624774e-06,1.3098992784130413e-06,1.0781700000000006e-06,1.113630000000001e-06,1.0659399999999988e-06,7.708999999999997e-07
10.0,1.1338468027034797e-06,1.111535293165469e-06,1.1453681289955793e-06,1.281185134245179e-06,1.08206882454767e-06,1.2983773722684355e-06,1.3560632342730613e-06,1.4254040052445003e-06,1.0897799999999996e-06,1.1422200000000004e-06,1.0960699999999991e-06,7.462700000000012e-07
12.5,1.1598686832861096e-06,1.128223965974686e-06,1.1562516352797981e-06,1.285595081347128e-06,1.096153825975762e-06,1.3291882977762974e-06,1.3654383231760015e-06,1.4437563888614937e-06,1.095099999999999e-06,1.1506000000000005e-06,1.0947800000000004e-06,7.016999999999987e-07
15.0,1.173647161482422e-06,1.1397418207940628e-06,1.1658786569346998e-06,1.2888882556741179e-06,1.1018195106462472e-06,1.3531942102435313e-06,1.3802857586090298e-06,1.4478888876618556e-06,1.0984099999999985e-06,1.1412599999999993e-06,1.0858700000000005e-06,6.484800000000009e-07
17.5,1.201479878255977e-06,1.152963865329148e-06,1.187580010972213e-06,1.3061665105371571e-06,1.110747209581233e-06,1.379022211853772e-06,1.4038005741391673e-06,1.5502792643037633e-06,1.103240000000001e-06,1.1339199999999991e-06,1.06465e-06,5.906999999999993e-07
20.0,1.2270249243448183e-06,1.1606714313970763e-06,1.2035800291488094e-06,1.315580882357428e-06,1.107358281046771e-06,1.4022082063301364e-06,1.4247194835829617e-06,1.5297209867806557e-06,1.0862899999999994e-06,1.1137900000000004e-06,1.0323000000000003e-06,5.469600000000006e-07
22.5,1.2407344924578383e-06,1.1551509339998175e-06,1.2069273345880082e-06,1.3248518395268826e-06,1.1066103034693345e-06,1.4318181968736924e-06,1.4355224980239856e-06,1.5761822907101924e-06,1.0926700000000002e-06,1.0902099999999992e-06,9.990800000000006e-07,4.993599999999996e-07
