,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
0.0,1.7380168579129014e-07,1.2101727797478932e-07,1.4675360577208383e-07,1.4212541160690063e-07,1.0672313018226076e-07,1.647313445562483e-07,2.150267574886923e-07,1.7390589951788616e-07,1.1562800000000014e-07,1.150280000000001e-07,1.0126699999999992e-07,7.758899999999981e-08
2.5,1.777742736967714e-07,1.2881217779750604e-07,1.584272087963652e-07,1.4450887473856303e-07,1.4686021172294135e-07,2.073123715729693e-07,2.2457356059013733e-07,2.0117534758181498e-07,1.225460000000001e-07,1.4223200000000013e-07,9.594199999999968e-08,8.395100000000009e-08
5.0,1.6805709732123665e-07,1.3847309504509344e-07,1.3412900892750986e-07,1.302369545238552e-07,1.3588127663487247e-07,1.9573394445370301e-07,2.1163579466187096e-07,1.957044831879252e-07,1.236439999999999e-07,1.3272300000000002e-07,9.187899999999997e-08,7.4113e-08
7.5,1.6129476513749506e-07,1.1256225166533205e-07,1.146545822466824e-07,1.26052485791481e-07,1.1243978130981137e-07,1.8720784476654677e-07,2.0172512237591405e-07,1.9142582754100224e-07,1.1742200000000011e-07,1.2245e-07,8.791099999999971e-08,7.472100000000026e-08
10.0,1.3821459158279286e-07,6.655224433535041e-08,9.966990116235764e-08,1.0455850192966095e-07,8.179260179220488e-08,1.7556511228233062e-07,1.9315312638493424e-07,1.9268430160923902e-07,1.0760799999999983e-07,1.0146299999999983e-07,6.630400000000022e-08,7.454399999999982e-08
12.5,1.1446935437432327e-07,-1.012515838420579e-09,5.6545232665250335e-08,6.394912515321104e-08,5.336181081281657e-08,1.5690769829373865e-07,1.9199031142866106e-07,1.948205427924836e-07,1.0606399999999999e-07,8.444000000000025e-08,4.2171999999999856e-08,4.669900000000009e-08
15.0,9.29154387986575e-08,-6.37101218956845e-08,2.1387139326655245e-09,2.8271769643167985e-08,4.831624654662751e-09,1.3260482525583703e-07,1.9392037388766518e-07,1.9366508979523629e-07,1.0811000000000014e-07,6.539900000000002e-08,1.2202000000000125e-08,2.997500000000008e-08
17.5,5.401796737241994e-08,-1.0812842155018257e-07,-4.1301632669925475e-08,-2.0991025952906603e-08,-6.083373863135645e-08,1.1579584211786587e-07,1.989813088321532e-07,1.8529288133037298e-07,1.05911e-07,4.6240999999999944e-08,-1.486200000000007e-08,1.5866000000000044e-08
20.0,3.192309639212627e-08,-1.2646330315263994e-07,-8.782890897455256e-08,-6.56580078419015e-08,-1.0701176357615731e-07,9.04505027755938e-08,1.88866020025743e-07,1.9869758402848892e-07,1.0461699999999986e-07,2.9913000000000064e-08,-2.8500000000000024e-08,-3.508999999999876e-09
22.5,9.983189384218818e-09,-1.1386952910741816e-07,-1.105333576293076e-07,-8.712722856325093e-08,-1.40364081271754e-07,6.485817001060114e-08,1.9266576862474545e-07,1.9853565658397103e-07,1.0432500000000006e-07,2.7895000000000052e-08,-2.890200000000011e-08,-6.68799999999996e-09
