,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
300.0,7.812957630381146e-09,3.276477736576523e-08,2.4543072879826026e-08,3.346049774103134e-08,2.6921973343524025e-08,4.3092795330983215e-07,1.7021097401276728e-06,8.170126752612827e-12,0.0,0.0,0.0,0.0
301.0,7.754375143996443e-09,3.458971614390146e-08,2.2952939449432682e-08,3.383506136475303e-08,2.9601905420263164e-08,8.330931395265843e-07,2.1873554431984016e-06,1.3124132659190408e-11,0.0,0.0,0.0,0.0
302.0,5.771433687117606e-09,3.8248368486171915e-08,2.2036955085515685e-08,3.420916537491756e-08,2.886151115991872e-08,9.08450981609479e-07,1.1577468323767315e-06,3.8784518884620504e-11,0.0,0.0,0.0,0.0
303.0,5.922287770740241e-09,3.742634973049076e-08,2.7027906663616706e-08,3.770143189552516e-08,3.1680456591497185e-08,1.0969563744016406e-06,2.222336300006486e-06,4.266885696012453e-11,0.0,0.0,0.0,0.0
304.0,6.075037643770035e-09,3.9956240355853504e-08,3.0911497838671085e-08,4.397862427709959e-08,3.32633038563884e-08,6.748037649071217e-07,9.399317179445957e-07,3.712730285881153e-11,0.0,0.0,0.0,0.0
305.0,7.222503213989404e-09,3.7973847525570544e-08,3.0042791727521015e-08,4.8340901229196495e-08,3.355616253662472e-08,1.2397896559169452e-06,1.5367513311130742e-06,6.608030723786219e-11,0.0,0.0,0.0,0.0
306.0,7.951825564462686e-09,3.4471841892242244e-08,2.7430092902326508e-08,4.6740485567664236e-08,3.3844032696055365e-08,1.7727752436803732e-06,2.1912281253754763e-06,2.629473750450572e-12,0.0,0.0,0.0,0.0
307.0,6.038228432945013e-09,3.9075264175717953e-08,2.6138338867394617e-08,4.650188982135732e-08,3.215691595108116e-08,8.427847835427233e-07,2.1846473967576534e-06,2.599730402141608e-11,0.0,0.0,0.0,0.0
308.0,5.856257033033937e-09,3.9202811491740034e-08,2.720745901482365e-08,5.200960189112226e-08,2.9567172044694532e-08,5.355886837045457e-07,1.1410690882812252e-06,5.305971260507698e-11,0.0,0.0,0.0,0.0
309.0,6.534770789418479e-09,3.6156085098109795e-08,2.7868886010629787e-08,5.6026168468947796e-08,3.094455494816327e-08,9.546834154337855e-07,2.1053900403195445e-06,1.2632340241917269e-11,0.0,0.0,0.0,0.0
310.0,5.264492988296504e-09,3.565511959128685e-08,2.517745562359753e-08,5.6600711644217667e-08,3.1378285515980046e-08,1.1856913981135156e-06,7.545308897086008e-07,3.508568637144995e-11,0.0,0.0,0.0,0.0
311.0,6.828528629601962e-09,3.484807612482222e-08,2.1863862448254778e-08,5.4535154799951105e-08,2.6398526888617293e-08,2.9712676048058875e-06,1.2821177297198952e-06,4.5771602951000265e-11,0.0,0.0,0.0,0.0
312.0,4.656517419560733e-09,3.053118818075651e-08,2.286941651353781e-08,5.522380187565792e-08,2.6068343800617195e-08,5.887170141355546e-06,2.0562843077461954e-06,1.9534700923588857e-11,0.0,0.0,0.0,0.0
313.0,4.602394179456702e-09,3.0598177361169066e-08,2.3705077072489815e-08,5.161541777624326e-08,2.7002772891658624e-08,1.4454446120294422e-05,1.8568107089914477e-06,6.684518552369211e-12,0.0,0.0,0.0,0.0
314.0,4.538389038938814e-09,3.114112412030621e-08,2.2448966657633175e-08,4.5960248901344106e-08,2.3071907569870522e-08,2.7543817996882358e-05,1.1548882374843865e-06,3.845777830823006e-11,0.0,0.0,0.0,0.0
315.0,4.7892645792366705e-09,3.028926031612104e-08,2.423931421855016e-08,4.30082649168294e-08,2.4003452909892528e-08,3.18072057215601e-05,1.3131432475623664e-06,1.405063274891732e-11,0.0,0.0,0.0,0.0
316.0,5.080568091632326e-09,2.8565260618638687e-08,2.3976759701952273e-08,4.448084059536916e-08,2.3749230730876914e-08,2.123782605013946e-05,5.645294282341458e-07,3.285561272322729e-11,0.0,0.0,0.0,0.0
317.0,4.411874636157702e-09,2.8119074977378343e-08,2.087523124953709e-08,4.26299560058082e-08,2.0653453291149876e-08,7.586837730659945e-06,8.393703188425939e-07,4.280788626097229e-11,0.0,0.0,0.0,0.0
318.0,5.827432837213682e-09,2.6180714520364126e-08,2.0428676039013437e-08,3.996487587243721e-08,1.4124853875843107e-08,2.5307469905764146e-06,1.0277492608561867e-06,5.3648511416692954e-11,0.0,0.0,0.0,0.0
319.0,8.799412477074807e-09,2.7937147497439608e-08,1.8908681261070885e-08,4.333688615444991e-08,1.6457137615949052e-08,2.634499426695787e-06,1.3588265432530124e-06,6.386484753289157e-12,0.0,0.0,0.0,0.0
320.0,1.5782904671598784e-08,3.4421265598811057e-08,1.8990175086717648e-08,4.73933215253406e-08,1.9613106980201885e-08,1.5978122486561275e-06,8.296037659929268e-07,4.2973475078433606e-11,0.0,0.0,0.0,0.0
