,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
300.0,7.463645366554039e-08,3.1299885439189116e-07,2.3445768023648599e-07,3.1964500608108035e-07,2.571830939189184e-07,4.116614442567559e-06,1.6260095185810775e-05,7.804845689189171e-11,0.0,0.0,0.0,0.0
301.0,7.326167120495482e-08,3.2679621041666605e-07,2.1685444306024735e-07,3.1966639411599036e-07,2.7967244576998825e-07,7.870885085867103e-06,2.0665664519988697e-05,1.2399398711993218e-10,0.0,0.0,0.0,0.0
302.0,5.393377298845712e-08,3.574291822353598e-07,2.0593429594313027e-07,3.1968302149493185e-07,2.6970944749436893e-07,8.489431165540526e-06,1.0819089020270253e-05,3.6243948217905347e-10,0.0,0.0,0.0,0.0
303.0,5.4747605821368165e-08,3.459816749366549e-07,2.498549948057429e-07,3.48524626330236e-07,2.9286471999577665e-07,1.0140631038851337e-05,2.054401887668916e-05,3.944451624324319e-10,0.0,0.0,0.0,0.0
304.0,5.5561438654279216e-08,3.654341466779275e-07,2.827122055180177e-07,4.022223034909906e-07,3.042214921171168e-07,6.1716601914414344e-06,8.596483108108099e-06,3.395610827702699e-10,0.0,0.0,0.0,0.0
305.0,6.535975578406525e-08,3.4364282395129476e-07,2.718710497184682e-07,4.37459064414414e-07,3.036651592201574e-07,1.12194272170608e-05,1.390677009431305e-05,5.979911140554611e-10,0.0,0.0,0.0,0.0
306.0,7.120917270692563e-08,3.086978358530403e-07,2.4563846465371606e-07,4.1856442677364837e-07,3.030757591216214e-07,1.5875330447635126e-05,1.9622606249999986e-05,2.354712749999999e-11,0.0,0.0,0.0,0.0
307.0,5.3514602335304006e-08,3.463097242398645e-07,2.3165450358952682e-07,4.1212918147522484e-07,2.849949432291664e-07,7.46929220157657e-06,1.9361728026463943e-05,2.3040456351492097e-10,0.0,0.0,0.0,0.0
308.0,5.137157020270263e-08,3.4389029909909864e-07,2.3866607680180145e-07,4.562325218468462e-07,2.5936567432432394e-07,4.698228153153147e-06,1.0009552252252236e-05,4.6544417972972903e-10,0.0,0.0,0.0,0.0
309.0,5.6743791955236375e-08,3.139564396114859e-07,2.419956752533779e-07,4.864956017736478e-07,2.6870282749155355e-07,8.289863386824308e-06,1.8281867609797262e-05,1.0969120565878357e-10,0.0,0.0,0.0,0.0
310.0,4.525580114583321e-08,3.065064395833325e-07,2.164360229166661e-07,4.865635791666654e-07,2.697409708333326e-07,1.0192703124999974e-05,6.486265624999983e-06,3.0161135156249927e-10,0.0,0.0,0.0,0.0
311.0,5.810611523367098e-08,2.965333290399765e-07,1.8604653795608048e-07,4.6405692367680034e-07,2.2463343548704883e-07,2.5283458150337758e-05,1.0909946283783748e-05,3.894850823310798e-10,0.0,0.0,0.0,0.0
312.0,3.922534984797283e-08,2.5718717010135034e-07,1.92646302533783e-07,4.651916342905388e-07,2.1959327398648563e-07,4.959206368243224e-05,1.7321629898648583e-05,1.6455548403716153e-10,0.0,0.0,0.0,0.0
313.0,3.8383467633727294e-08,2.5518547621058435e-07,1.9769776839808463e-07,4.30466978786597e-07,2.2520019339808448e-07,0.0001205485108811931,1.5485599662162088e-05,5.574815878378351e-11,0.0,0.0,0.0,0.0
314.0,3.747658096846826e-08,2.571535515202688e-07,1.853764649493233e-07,3.795251959459438e-07,1.9052051393580973e-07,0.00022744813555743113,9.53670171734229e-06,3.175721671874982e-10,0.0,0.0,0.0,0.0
315.0,3.9162203222128116e-08,2.476777276182416e-07,1.9820682981418788e-07,3.5168205536317334e-07,1.962781728462825e-07,0.0002600900897804037,1.0737678378378308e-05,1.148931586486479e-10,0.0,0.0,0.0,0.0
316.0,4.114262417792761e-08,2.3132251373873697e-07,1.9416466734234083e-07,3.602074560810783e-07,1.9232212950450303e-07,0.00017198468355855725,4.571579729729694e-06,2.6606594027026824e-10,0.0,0.0,0.0,0.0
317.0,3.5385463205236177e-08,2.2552918544481786e-07,1.6742989957770123e-07,3.41913781348533e-07,1.6565112832207059e-07,6.085027103040487e-05,6.732173958333273e-06,3.4334087187499694e-10,0.0,0.0,0.0,0.0
